"","x"
"1245",11295
"1246",11296
"1247",11297
"1248",11298
"1249",11299
"1250",113
"1251",1130
"1252",11300
"1253",11301
"1254",11302
"1255",11303
"1256",11304
"1257",11305
"1258",11306
"1259",11307
"1260",11308
"1261",11309
"1262",1131
"1263",11310
"1264",11311
"1265",11312
"1266",11313
"1267",11314
"1268",11315
"1269",11316
"1270",11317
"1271",11318
"1272",11319
"1273",1132
"1274",11320
"1275",11321
"1276",11322
"1277",11323
"1278",11324
"1279",11325
"1280",11326
"1281",11327
"1282",11328
"1283",11329
"1284",1133
"1285",11330
"1286",11331
"1287",11332
"1288",11333
"1289",11334
"1290",11335
"1291",11336
"1292",11337
"1293",11338
"1294",11339
"1295",1134
"1296",11340
"1297",11341
"1298",11342
"1299",11343
"1300",11344
"1301",11345
"1302",11346
"1303",11347
"1304",11348
"1305",11349
"1306",1135
"1307",11350
"1308",11351
"1309",11352
"1310",11353
"1311",11354
"1312",11355
"1313",11356
"1314",11357
"1315",11358
"1316",11359
"1317",1136
"1318",11360
"1319",11361
"1320",11362
"1321",11363
"1322",11364
"1323",11365
"1324",11366
"1325",11367
"1326",11368
"1327",11369
"1328",1137
"1329",11370
"1330",11371
"1331",11372
"1332",11373
"1333",11374
"1334",11375
"1335",11376
"1336",11377
"1337",11378
"1338",11379
"1339",1138
"1340",11380
"1341",11381
"1342",11382
"1343",11383
"1344",11384
"1345",11385
"1346",11386
"1347",11387
"1348",11388
"1349",11389
"1350",1139
"1351",11390
"1352",11391
"1353",11392
"1354",11393
"1355",11394
"1356",11395
"1357",11396
"1358",11397
"1359",11398
"1360",11399
"1361",114
"1362",1140
"1363",11400
"1364",11401
"1365",11402
"1366",11403
"1367",11404
"1368",11405
"1369",11406
"1370",11407
"1371",11408
"1372",11409
"1373",1141
"1374",11410
"1375",11411
"1376",11412
"1377",11413
"1378",11414
"1379",11415
"1380",11416
"1381",11417
"1382",11418
"1383",11419
"1384",1142
"1385",11420
"1386",11421
"1387",11422
"1388",11423
"1389",11424
"1390",11425
"1391",11426
"1392",11427
"1393",11428
"1394",11429
"1395",1143
"1396",11430
"1397",11431
"1398",11432
"1399",11433
"1400",11434
"1401",11435
"1402",11436
"1403",11437
"1404",11438
"1405",11439
"1406",1144
"1407",11440
"1408",11441
"1409",11442
"1410",11443
"1411",11444
"1412",11445
"1413",11446
"1414",11447
"1415",11448
"1416",11449
"1417",1145
"1418",11450
"1419",11451
"1420",11452
"1421",11453
"1422",11454
"1423",11455
"1424",11456
"1425",11457
"1426",11458
"1427",11459
"1428",1146
"1429",11460
"1430",11461
"1431",11462
"1432",11463
"1433",11464
"1434",11465
"1435",11466
"1436",11467
"1437",11468
"1438",11469
